method,workers,complexity,time_s,checksum,speedup,efficiency_pct,error
sequential_traditional,1,512,10.737978,33453156.905396,1.0000,100.00,
sequential_transposed,1,512,7.940236,33453156.905396,1.3523,135.23,
threading,1,512,7.854174,33453156.905396,1.3672,136.72,
multiprocessing,1,512,7.148200,33453156.905396,1.5022,150.22,
numpy,1,512,0.002049,33453156.905396,5240.5944,524059.44,
numba_njit,1,512,0.029662,33453156.905396,362.0113,36201.13,
pytorch_cpu,1,512,0.002355,33453156.905396,4559.6510,455965.10,
pytorch_cuda,1,512,0.001971,33453156.905396,5447.9848,544798.48,
numba_njit_parallel,1,512,0.008064,33453156.905396,1331.5945,133159.45,
threading,4,512,9.718006,33453156.905396,1.1050,27.62,
multiprocessing,4,512,1.933570,33453156.905396,5.5534,138.84,
sequential_traditional,1,1024,86.385556,268299307.062599,1.0000,100.00,
sequential_transposed,1,1024,67.556689,268299307.062599,1.2787,127.87,
threading,4,1024,84.870141,268299307.062599,1.0179,25.45,
multiprocessing,4,1024,15.226145,268299307.062599,5.6735,141.84,
numpy,1,1024,0.010994,268299307.062599,7857.5183,785751.83,
numba_njit,1,1024,0.212957,268299307.062599,405.6479,40564.79,
pytorch_cpu,1,1024,0.013833,268299307.062599,6244.8895,624488.95,
pytorch_cuda,1,1024,0.013500,268299307.062599,6398.9301,639893.01,
numba_njit_parallel,1,1024,0.042175,268299307.062599,2048.2645,204826.45,
threading,10,1024,100.622111,268299307.062599,0.8585,8.59,
multiprocessing,10,1024,9.023293,268299307.062599,9.5736,95.74,
